CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,HIBNature,HIBAlleged,HIBConfirmed,TotalHIBInvestigations,Year
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Race,2,0,2,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Ancestry,1,3,4,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Disability,1,0,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Gender,1,0,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,No Identified Nature,16,0,16,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Other,1,1,2,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Race,0,3,3,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Religion,1,0,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Disability,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,No Identified Nature,27,0,27,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Other,2,20,22,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Disability,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,No Identified Nature,10,0,10,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Other,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Race,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,No Identified Nature,7,0,7,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Other,0,2,2,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Race,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,No Identified Nature,1,0,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,130,VENICE PARK SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Disability,4,0,4,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,No Identified Nature,11,0,11,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Other,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Race,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Sexual Orientation,1,0,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,No Identified Nature,5,0,5,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Ancestry,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Disability,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Gender,0,1,1,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,No Identified Nature,9,0,9,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Other,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Race,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Religion,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Sexual Orientation,1,1,2,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,Gender,0,1,1,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,Race,0,1,1,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,Ancestry,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,Disability,0,2,2,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,Gender,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,Other,0,2,2,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,Race,0,1,1,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,Religion,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,030,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,Sexual Orientation,0,1,1,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Disability,1,0,1,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,No Identified Nature,1,0,1,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Other,3,0,3,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Ancestry,0,1,1,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,No Identified Nature,2,0,2,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Race,1,0,1,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,No Identified Nature,5,0,5,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Other,2,5,7,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Sexual Orientation,1,1,2,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Disability,0,2,2,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Other,0,2,2,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Race,0,2,2,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Sexual Orientation,0,3,3,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Race,0,1,1,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Other,1,0,1,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Ancestry,0,1,1,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Sexual Orientation,0,1,1,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Gender,0,1,1,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Other,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Sexual Orientation,0,2,2,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,No Identified Nature,3,0,3,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Other,0,1,1,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,Ancestry,1,0,1,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,Gender,1,0,1,2017-18
